特賞フラグ,特賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
54,新潟県花木振興協議会会長賞,本間　春彦,257920,ｱｻﾞﾚｱ,5,6,新潟県
55,長野県鉢花園芸組合長賞,丸山　盛芳,261824,CYM 'ｱｲｺｻﾏ',6.5,2,長野県
56,静岡県鉢物生産振興会会長賞,大谷　之久,261138,CYM ｼﾞｮｰﾝﾃｰﾗｰ'ﾐﾘｵﾝｷｽ',6,1,静岡県
57,徳島県ふるさと農産物振興協会会長賞,高尾　善蔵,262756,CYM ｷｽﾐｰ'ｸﾛｯｷｰ',7,2,徳島県
58,福岡県花き園芸連合会会長賞,吉村　裕子,258471,DENP 'ﾋﾞﾋﾞｱﾝ',10,1,福岡県
59,熊本県花き協会会長賞,山本　利男,260428,PHAL ﾘﾄﾙﾌｪｱﾘｰ,7,1,熊本県
60,宮崎県花き生産者連合会会長賞,坂本　功,258507,CYM ﾋﾟｭｱﾌﾟﾛﾎﾟｰｽﾞ'ｳｪﾃﾞｨﾝｸ,6.5,2,宮崎県
61,(一社)日本花き卸売市場協会会長賞,富岡　和彦,259625,ﾍﾞｺﾞﾆｱ E.'ｸﾞﾚｰｽ',5,3,佐賀県
62,(一財)日本花普及センター会長賞,熊谷　琢磨,258223,CYM ｻﾏｰｸｲｰﾝ'ｶｾﾞﾉﾒﾛﾃﾞｨｰ',7,1,愛媛県
63,(社)園芸文化協会会長賞,,254310,PHAL S.Y.'V3 ﾎﾜｲﾄﾊｰﾄ',12,1,群馬県
64,愛知園芸商組合理事長賞,松村　秀彦,256458,DTPS ﾏｳﾝﾄﾘｯﾌﾟ,12,1,山梨県
65,日本ハンギングバスケット協会理事長賞,高橋　照典,260939,ｼｸﾗﾒﾝ'ﾒﾙﾃｨﾋﾟﾝｸ',5,2,千葉県
66,ＮＨＫ出版賞,洪　南基,263051,ｼｸﾗﾒﾝ'ﾋﾗﾘ ﾓﾓ',5,3,福島県
67,東海地域花き普及･振興協議会会長賞,窪田　朝正,256337,CYM 'ﾑﾗｻﾒ',8,1,山梨県
68,豊成会会長賞,西川　正美,258699,CYM ﾎｼﾉｵｳｼﾞｻﾏ,6.5,1,香川県
69,豊和会会長賞,福田　一郎,260499,ｼｸﾗﾒﾝ'ｾﾚﾅ ﾚｯﾄﾞ',6,1,栃木県
70,豊明花き(株)社長賞,高玉　恵治,260878,ｼｸﾗﾒﾝ'ｼｬｲﾆｰ ﾋﾟﾝｸ',6,1,福島県
71,日本植物運輸(株)社長賞,吉岡　麗子,260730,ﾎﾟｲﾝｾﾁｱ,99,1,埼玉県
72,(株)花卉園芸新聞社賞,根本　修二,260874,ｼｸﾗﾒﾝ,5,3,福島県
73,(株)誠文堂新光社｢農耕と園芸｣賞,菊池　武,260887,ｼｸﾗﾒﾝ'ﾋﾗﾘ ｱｶﾌﾞﾄﾞｳ',6,1,岩手県
74,(株)草土出版賞,嶋田　薫,260422,PHAL 'ｻｸﾗﾋﾒ',10,1,熊本県
102,アイデア賞,角田　孝久,259157,CYM 'ｲﾁｺﾞﾉｼｽﾞｸ',6.5,2,高知県
