特賞フラグ,特別賞名,代表者名,荷受NO,品名,鉢ｻｲｽﾞ,入数,都道府県名
14,高知県知事賞,徳平　英亀,113322,EPI 'ﾋﾞｰﾅｽﾋﾟｱｽ ﾄﾜﾚﾓﾝ',6,1,高知県
15,福岡県知事賞,古賀　光一郎,112538,DENP ﾃﾞﾝﾌｧﾚ (ｿﾞｸﾒｲ),8,1,福岡県
16,宮崎県知事賞,桑畑　新一,115953,PHAL 'ｻｸﾗﾋﾒ',7,1,宮崎県
17,北海道鉢花生産組合組合長賞,名内　稔弘,115415,ｸﾘｽﾏｽﾛｰｽﾞ N.'ｳｨﾝﾀｰﾍﾞﾙ',5,1,北海道
18,福島県鉢花生産者協議会会長賞,根本　雄二,115688,ﾐﾆｼｸ'ｼﾞｯｸｽ'(ｼﾘｰｽﾞ),6,1,福島県
19,群馬県園芸協会会長賞,坂本　ティアムチャイ,114969,ﾐﾆｼｸ'ｳｨﾝｸ ﾋﾟﾝｸ',5,1,群馬県
20,茨城県花き園芸協会会長賞,小波　輝昌,115490,ｸﾚﾏﾁｽ ｱﾝｽﾝｴﾝｼｽ,8,1,茨城県
21,(一社)とちぎ農産物マーケティング協会会長賞,川村　一徳,597552,ｸﾘｽﾏｽﾛｰｽﾞ N.'ｳｨﾝﾀｰﾍﾞﾙ',5,1,栃木県
22,埼玉県花き園芸組合連合会会長賞,境野　昇寿,115512,ﾎﾟｲﾝ'ﾚﾓﾝｸﾘｽﾏｽ',5,1,埼玉県
23,千葉県花き園芸組合連合会会長賞,平野　晃久,588193,ｸﾌﾟﾚｯｻｽ'ｺﾞｰﾙﾄﾞｸﾚｽﾄ',10,1,千葉県
24,新潟県花木振興協議会会長賞,棚橋　一男,114734,ｴﾘｶ'ﾌﾟﾘﾃｨｰﾚｯﾄﾞ',4,1,新潟県
25,長野県鉢花園芸組合組合長賞,青木　健,500750,ｼｸﾗﾒﾝ'ﾏｶﾛﾝｼｮｺﾗ',5,1,長野県
26,静岡県鉢物生産振興会会長賞,大見　宏行,115097,CYM ｼﾝﾋﾞｼﾞｳﾑ (ｿﾞｸﾒｲ),99,1,静岡県
27,とくしまの花振興協会会長賞,佐野　円次,114495,CYM 'ｱﾄﾘ',6,1,徳島県
28,福岡県花き園芸連合会会長賞,中野　正計,112589,ｼｸﾗﾒﾝ'ﾛﾏﾈ'(ｼﾘｰｽﾞ),6,1,福岡県
29,熊本県花き協会会長賞,山本　健司,112401,PHAL ﾋﾞｯｸﾞﾘｯﾌﾟ,6,1,熊本県
30,宮崎県花き生産者連合会会長賞,中原　慎太郎,115957,PHAL ｿｰｺﾞﾕｷﾃﾞｨｱﾝ'V3',8,1,宮崎県
31,(一社)日本花き卸売市場協会会長賞,石原　玄太,507658,ﾐﾆｼｸ'ｽｰﾊﾟｰﾍﾞﾗﾉ',3,1,山梨県
32,(一財)日本花普及センター会長賞,佐藤　壮真,112591,ｼｸﾗﾒﾝ'ｷｬﾝﾃﾞｨｹｰﾝ'(ﾌﾘﾝｼﾞ),5,1,秋田県
33,愛知園芸商組合理事長賞,塩原　茂夫,508421,ﾌﾟﾘﾝｾﾁｱ,4,1,埼玉県
34,(公社)園芸文化協会会長賞,国本　耕一,500761,CYM 'ｸﾞﾘｰﾝﾍﾟｶﾞｻｽ',6,1,鳥取県
35,(一社)日本ハンギングバスケット協会理事長賞,和佐野　礼子,111712,PHAL 'ｻｸﾗﾋﾒ',7,1,福岡県
36,ＮＨＫ出版賞,石原　千鶴,551721,PHAL ﾊﾟｰﾙ,6,1,山梨県
37,(株)花卉園芸新聞社賞,金子　直哉,115539,ｶﾗｰ,5,1,埼玉県
38,東海地域花き普及・振興協議会会長賞,飯田　裕彦,116239,CYM 'ｸﾞﾘｰﾝﾍﾟｶﾞｻｽ',8,1,山梨県
39,豊成会会長賞,西村　直也,115074,PHAL ｿｰｺﾞﾕｷﾃﾞｨｱﾝ'V3',8,1,鹿児島県
40,豊和会会長賞,大場　博義,111823,ｵﾘｰﾌﾞ'ｺﾛﾈｲｷ',7,1,静岡県
41,豊明花き(株)社長賞,阿部　良子,114666,ｱｶｼｱ,6,1,新潟県
42,日本植物運輸(株)社長賞,新山　正志,111371,ｼｸﾗﾒﾝ,5,1,秋田県
43,アイデア賞,長谷川　康平,115583,ｼｸﾗﾒﾝ'ﾌﾟﾗﾁﾅ ｱﾌﾛﾃﾞｨｰﾃ',3,1,茨城県
